Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Rep.",COG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1450,1450,1450,1450,1450,820,840,870,870,760,810,1060,1500,1570,1790,1820,1660,1670,1590,1820,1860,1800,1880,1660,1850,1880,1860,1910,1880,,
Colombia,COL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16290,16240,16180,16460,16700,16650,16360,16340,16640,15960,16410,16880,17140,17800,18000,18430,18800,20210,19290,19400,19810,19050,18590,17120,17780,17260,17350,18390,19420,19610,,
Comoros,COM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,50,50,40,40,50,40,40,40,40,40,50,40,50,50,50,50,50,50,50,50,50,50,,
Cabo Verde,CPV,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,60,80,80,60,80,50,60,70,80,70,70,80,70,80,80,80,80,80,90,90,60,60,60,60,60,60,50,50,50,,
Costa Rica,CRI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1590,1590,1560,1520,1420,1500,1550,1590,1390,1290,1170,1150,1270,1150,1210,1230,1310,1400,1180,1300,1510,1450,1480,1400,1450,1590,1540,1590,1600,,
Caribbean small states,CSS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1540,1540,1540,1530,1650,1690,1710,1680,1710,1700,1690,1770,1880,1920,1750,1700,1670,1820,1770,1780,1800,1840,1940,1930,1960,1890,1860,1910,1950,,
Cuba,CUB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890,4650,4450,3910,3670,3620,3570,3680,3560,3340,3300,3450,3180,2960,3050,2850,3020,3090,3150,3050,3090,3300,3230,3340,3520,3410,3300,3270,3180,3210,,
Curacao,CUW,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,230,280,280,270,270,280,260,270,270,250,270,290,290,270,240,250,240,230,240,260,250,250,220,210,230,220,230,230,230,,
